,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-21,10.03,10.05,10.0,10.03,10.03,14801.0,0.0000,1.0
2023-02-22,10.04,10.05,10.03,10.03,10.03,4414.0,0.0000,1.0
2023-02-23,10.03,10.03,10.03,10.03,10.03,61.0,0.0000,1.0
2023-02-24,10.03,10.07,10.03,10.03,10.03,177564.0,0.0000,1.0
2023-02-27,10.03,10.03,10.03,10.03,10.03,287.0,0.0000,1.0
2023-02-28,10.1,10.1,10.09,10.1,10.1,336.0,0.0000,1.0
2023-03-01,10.1,10.1,10.03,10.03,10.03,4812.0,0.0000,1.0
2023-03-02,10.04,10.04,10.03,10.04,10.04,684.0,0.0000,1.0
2023-03-03,10.04,10.05,10.04,10.045,10.045,993.0,0.0000,1.0
2023-03-06,10.04,10.065,10.04,10.04,10.04,686.0,0.0000,1.0
2023-03-07,10.045,10.05,10.04,10.04,10.04,4487.0,0.0000,1.0
2023-03-08,10.04,10.04,10.04,10.04,10.04,0.0,0.0000,1.0
2023-03-09,10.04,10.04,10.04,10.04,10.04,1263.0,0.0000,1.0
2023-03-10,10.04,10.04,10.04,10.04,10.04,66.0,0.0000,1.0
2023-03-13,10.04,10.04,10.04,10.04,10.04,135.0,0.0000,1.0
2023-03-14,10.04,10.0425,10.04,10.04,10.04,2310.0,0.0000,1.0
2023-03-15,10.04,10.04,10.04,10.04,10.04,2.0,0.0000,1.0
2023-03-16,10.04,10.04,10.04,10.04,10.04,0.0,0.0000,1.0
2023-03-17,10.06,10.09,10.06,10.09,10.09,4167.0,0.0000,1.0
2023-03-20,10.09,10.09,10.09,10.09,10.09,0.0,0.0000,1.0
2023-03-21,10.09,10.09,10.09,10.09,10.09,52.0,0.0000,1.0
2023-03-22,10.09,10.09,10.09,10.09,10.09,0.0,0.0000,1.0
2023-03-23,10.09,10.09,10.09,10.09,10.09,1.0,0.0000,1.0
2023-03-24,10.09,10.09,10.09,10.09,10.09,0.0,0.0000,1.0
2023-03-27,10.0701,10.0701,10.07,10.07,10.07,2919.0,0.0000,1.0
2023-03-28,10.07,10.07,10.07,10.07,10.07,17.0,0.0000,1.0
2023-03-29,10.07,10.07,10.07,10.07,10.07,0.0,0.0000,1.0
2023-03-30,10.0926,10.0926,10.08,10.08,10.08,2204.0,0.0000,1.0
2023-03-31,10.08,10.08,10.08,10.08,10.08,5.0,0.0000,1.0
2023-04-03,10.09,10.09,10.09,10.09,10.09,305.0,0.0000,1.0
2023-04-04,10.09,10.09,10.09,10.09,10.09,0.0,0.0000,1.0
2023-04-05,10.1,10.1,10.1,10.1,10.1,5684.0,0.0000,1.0
2023-04-06,10.1,10.1,10.1,10.1,10.1,0.0,0.0000,1.0
2023-04-10,10.095,10.1,10.09,10.1,10.1,1305.0,0.0000,1.0
2023-04-11,10.1,10.1,10.09,10.1,10.1,9118.0,0.0000,1.0
2023-04-12,10.1,10.1,10.1,10.1,10.1,87.0,0.0000,1.0
2023-04-13,10.1,10.1,10.1,10.1,10.1,5021.0,0.0000,1.0
2023-04-14,10.1,10.1,10.1,10.1,10.1,59.0,0.0000,1.0
2023-04-17,10.1,10.1,10.1,10.1,10.1,33.0,0.0000,1.0
2023-04-18,10.1,10.1,10.1,10.1,10.1,35.0,0.0000,1.0
2023-04-19,10.11,10.11,10.11,10.11,10.11,182.0,0.0000,1.0
2023-04-20,10.11,10.155,10.11,10.1101,10.1101,1730.0,0.0000,1.0
2023-04-21,10.1453,10.1453,10.1453,10.1453,10.1453,304.0,0.0000,1.0
2023-04-24,10.1453,10.1453,10.1453,10.1453,10.1453,51.0,0.0000,1.0
2023-04-25,10.11,10.12,10.11,10.12,10.12,1618.0,0.0000,1.0
2023-04-26,10.19,10.19,10.19,10.19,10.19,100.0,0.0000,1.0
2023-04-27,10.19,10.19,10.19,10.19,10.19,0.0,0.0000,1.0
2023-04-28,10.19,10.19,10.19,10.19,10.19,0.0,0.0000,1.0
